Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
29489998,0.7116108,9.9,3123,10,7,8.75,0,96.270004,2.3419204,18.431372,2.857143,16.862745,122
34800000,0.7178015,9.9,3141,10,7,33.31,0,96.40639,8.9890375,67.84314,10.876735,16.862745,121
29409998,0.71856815,10,3105,10,7,4.67,0,96.53061,1.2499166,8.235294,1.5248982,16.862745,122
34920000,0.72720295,10.1,3115,10,7,52.48,0,96.644035,14.2802725,100,17.136328,16.470589,120
34540000,0.73570985,10.1,3211,9,7,53.41,0,96.771324,14.064517,100,17.44,16.470589,124
35470000,0.7403425,10.2,3288,10,7,24.52,0,96.94321,6.255103,54.117645,8.006532,16.470589,128
26359998,0.7412135,10.3,3213,10,7,3.77,0,97.13702,0.9770003,9.411765,1.2310203,16.862745,126
32489998,0.74370354,10.4,3179,10,7,14.72,0,97.26282,3.9077485,52.941177,4.8065305,16.862745,123
0,0.7444748,10.4,3171,10,7,3.89,0,97.4092,1.0326862,8.235294,1.2702041,17.254902,123
29589998,0.7444748,10.5,2917,11,6,0,0,97.55667,0,6.27451,0,17.647058,116
32689998,0.7453921,10.6,2745,11,6,2.95,0,97.639336,0.90024793,19.607843,0.9632653,17.254902,107
34780000,0.75606865,10.7,2857,10,7,40.45,0,97.72292,12.117581,70.588234,13.208164,16.862745,109
34760000,0.7609804,10.8,2931,10,7,29.24,0,97.794334,8.449341,52.941177,9.547755,16.862745,113
29719998,0.76167995,10.8,2917,10,7,4.18,0,97.86936,1.1972789,7.45098,1.364898,17.254902,114
33970000,0.7682609,10.9,2931,10,7,39.8,0,97.93818,11.5008135,95.68627,12.995919,16.862745,113
35370000,0.7755135,11,3027,10,7,37.26,0,98.03431,10.488387,82.35294,12.16653,16.862745,116
34300000,0.7820322,11,3089,9,7,39.08,0,98.129555,10.723375,85.4902,12.760817,17.254902,119
34500000,0.7917016,11.1,3202,9,7,47.38,0,98.26718,12.578066,91.76471,15.471021,17.254902,123
30319998,0.7925265,11.2,3227,10,7,5.03,0,98.389824,1.3035309,8.627451,1.642449,17.254902,126
28449998,0.7969752,11.2,3188,10,7,26.89,0,98.50382,7.080974,7.45098,8.780408,17.254902,124
29809998,0.79953104,11.3,3090,10,7,11.02,0,98.63683,2.9986396,77.64706,3.5983675,17.254902,120
34500000,0.8035959,11.4,3081,10,7,19.63,0,98.75439,5.3414965,42.35294,6.4097958,17.254902,120
28439998,0.8044423,11.5,3054,10,7,4.1,0,98.86467,1.1250215,7.8431373,1.3387755,17.254902,119
35350000,0.8086006,11.5,3044,10,7,22.82,0,98.9563,6.31477,49.80392,7.4514284,17.254902,118
34510000,0.8151115,11.6,3071,9,6,39.14,0,99.04357,10.739839,71.76471,12.780408,17.254902,119
32639998,0.8205145,11.7,3087,9,6,29.2,0,99.1445,7.945578,6.6666665,9.534694,16.862745,120
32829998,0.8215654,11.7,3036,10,6,5.63,0,99.235725,1.5579386,43.92157,1.8383675,16.470589,118
30149998,0.8222024,11.8,2981,10,6,3.85,0,99.31578,1.0653752,7.8431373,1.2571428,16.078432,118
33980000,0.8275004,11.8,2851,10,6,32.87,0,99.36003,9.757328,81.56863,10.733061,15.294118,110
34500000,0.835423,11.8,2953,9,6,36.98,0,98.816284,9.757328,92.15686,12.075102,15.294118,0
29979998,0.8368439,11.9,3004,10,6,7.15,0,98.90832,1.9954649,7.8431373,2.334694,15.686275,117
32579998,0.8420456,12,2902,10,6,29.9,0,98.965965,8.7172,56.862743,9.763265,16.078432,112
29269998,0.8443686,12,2869,10,6,13.02,0,99.020004,3.8301163,63.92157,4.251429,16.470589,111
29749998,0.8443686,12.1,2907,10,6,0,0,99.09324,0,11.764706,0,16.470589,113
35010000,0.85364944,12.2,2957,10,6,44.18,0,99.17136,12.654493,0,14.426123,16.470589,114
33119998,0.8545028,12.3,2805,10,7,3.43,0,99.25043,1,22.745098,1.12,16.078432,112
33079998,0.8611222,12.3,2893,10,7,30.91,0,99.31773,9.011662,8.235294,10.093061,16.078432,112
